prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnftext,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,slashcountinchapter,bnfchapter
13516,7.72950010000e+16,57906020,12818,Hypurin bovine isophane 100unit/ml Injection (C P Pharmaceuticals Ltd),Insulin isophane bovine,100unit/1ml,Suspension for injection,Intramuscular/Subcutaneous,Intermediate- And Long-Acting Insulins,February 2009,2473001,,,,,,,,,0,6010102
9341,2.15095001000e+17,80932020,6044,Insulin biphasic isophane human prb 30:70; 100 units/ml Injection,Insulin Soluble Human/Insulin Isophane Human,30:70; 100 units/ml,Injection,,Intermediate- And Long-Acting Insulins,February 2009,9302003,,,,,,,,,0,6010102
7266,3284211000001102,90339020,380408,Lantus 100units/ml solution for injection 3ml cartridges (Sanofi),Insulin glargine,100unit/1ml,Solution for injection,Subcutaneous,Intermediate- And Long-Acting Insulins,February 2009,13761001,,,,,,,,,0,6010102
10910,2.11365001000e+17,79705020,2034,Humaject m2 100iu/ml M2 pen (Eli Lilly and Company Ltd),Insulin Soluble Human/Insulin Isophane Human,100iu/ml,M2 Pen,Subcutaneous Injection,Intermediate- And Long-Acting Insulins,February 2009,8724002,,,,,,,,,0,6010102
13729,2.15175001000e+17,80954020,432,Insulin isophane human emp 100unit/ml Injection,Insulin Isophane Human,100unit/ml,Injection,,Intermediate- And Long-Acting Insulins,February 2009,9313001,,,,,,,,,0,6010102
7400,400877001,90331020,87652,Insulin glargine 100units/ml solution for injection 3ml pre-filled disposable devices,Insulin glargine,100unit/1ml,Solution for injection,Subcutaneous,Intermediate- And Long-Acting Insulins,February 2009,13757001,,,,,,,,,0,6010102
11055,2.15205001000e+17,80959020,1279,Insulin biphasic isophane human pyr 20:80; 100 units/ml Injection,Insulin Soluble Human/Insulin Isophane Human,20:80; 100 units/ml,Injection,,Intermediate- And Long-Acting Insulins,February 2009,9315002,,,,,,,,,0,6010102
44251,2.12245001000e+17,79955020,1,Insulin zinc suspension mixed porcine 100unit/ml Injection,Pork Insulin,100unit/ml,Injection,,Intermediate- And Long-Acting Insulins,January 2011,8839001,,,,,,,,,0,6010102
9737,2.18605001000e+17,82035020,16880,Insulatard innolet 100iu/ml Injection (Novo Nordisk Ltd),Insulin isophane human,100unit/1ml,Suspension for injection,Subcutaneous,Intermediate- And Long-Acting Insulins,February 2009,9831001,,,,,,,,,0,6010102
3396,1.65005001000e+17,70111020,1144,Penmix 10/90 Penfill (Novo Nordisk Ltd),Insulin Soluble Human/Insulin Isophane Human,,Penfill,,Intermediate- And Long-Acting Insulins,February 2009,5680001,,,,,,,,,0,6010102
14918,3255911000001101,90273020,20737,Humulin I 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd),Insulin isophane human,100unit/1ml,Suspension for injection,Subcutaneous,Intermediate- And Long-Acting Insulins,February 2009,13728001,,,,,,,,,0,6010102
4715,3.63850010000e+16,52542020,137380,Humalog mix 25 25/75 100units/ml Injection (Eli Lilly and Company Ltd),Insulin Lispro/Insulin Lispro Protamine,25/75 100units/ml,Injection,Subcutaneous Injection,Intermediate- And Long-Acting Insulins,February 2009,1104001,,,,,,,,,0,6010102
23992,3260611000001109,90283020,464,Insuman Basal 100units/ml suspension for injection 3ml pre-filled OptiSet pens (Sanofi),Insulin isophane human,100unit/1ml,Suspension for injection,Intramuscular/Subcutaneous,Intermediate- And Long-Acting Insulins,February 2009,13733001,,,,,,,,,0,6010102
76512,2.20635001000e+17,82657020,4,Insulin biphasic isophane human emp 30:70; 100 units/ml Injection,Insulin Soluble Human/Insulin Isophane Human,30:70; 100 units/ml,Injection,,Intermediate- And Long-Acting Insulins,May 2019,10111001,,,,,,,,,0,6010102
55910,2.19285110000e+16,47928020,5051,Tresiba Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd),Insulin degludec,100unit/1ml,Solution for injection,Subcutaneous,Intermediate- And Long-Acting Insulins,August 2013,47928020,,,,,,,,,0,6010102
14649,2.15195001000e+17,80958020,511,Insulin biphasic isophane human pyr 10:90; 100 units/ml Injection,Insulin Soluble Human/Insulin Isophane Human,10:90; 100 units/ml,Injection,,Intermediate- And Long-Acting Insulins,February 2009,9315001,,,,,,,,,0,6010102
20422,2.11275001000e+17,79680020,265,Insuman comb 15 100iu/ml Injection (Aventis Pharma),Insulin isophane human/Insulin soluble human,85unit/1ml + 15unit/1ml,Suspension for injection,Subcutaneous,Intermediate- And Long-Acting Insulins,February 2009,8710001,,,,,,,,,0,6010102
39086,1.38849110000e+16,95962020,75086,Humalog Mix50 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd),Insulin lispro/Insulin lispro protamine,50unit/1ml + 50unit/1ml,Suspension for injection,Subcutaneous,Intermediate- And Long-Acting Insulins,April 2009,16594001,,,,,,,,,0,6010102
10184,2.38075001000e+17,87904020,9479,Insulin detemir 100 iu/ml Solution for injection,Insulin Detemir,100 iu/ml,Solution For Injection,,Intermediate- And Long-Acting Insulins,February 2009,12526001,,,,,,,,,0,6010102
33167,2.01795001000e+17,76722020,11,Insulin biphasic isophane human crb 25:75; 100 units/ml Injection,Insulin Soluble Human/Insulin Isophane Human,25:75; 100 units/ml,Injection,,Intermediate- And Long-Acting Insulins,February 2009,7623002,,,,,,,,,0,6010102
