prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnftext,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,slashcountinchapter,bnfchapter
13054,383411000001101,83732020,1902,Avance A dressing 9cm x 9cm square (Molnlycke Health Care Ltd),Silver,9cm x 9cm,Film Dressing,,Silver Impregnated Polyurethane Foam Film Dressing With Adhesive Border,February 2009,10590005,,,,,,,,,0,72213600
13961,204211000001108,83739020,256,Avance A dressing 15cm x 13cm sacral (Molnlycke Health Care Ltd),Silver,15cm x 13cm,Film Dressing,,Silver Impregnated Polyurethane Foam Film Dressing With Adhesive Border,February 2009,10593005,,,,,,,,,0,72213600
13934,806511000001108,83738020,651,Avance A dressing 15cm x 15cm square (Molnlycke Health Care Ltd),Silver,15cm x 15cm,Film Dressing,,Silver Impregnated Polyurethane Foam Film Dressing With Adhesive Border,February 2009,10592005,,,,,,,,,0,72213600
23900,3134611000001107,83745020,72,Silver impregnated polyurethane foam film dressing with adhesive border 12cm x 12cm square,Silver,12cm x 12cm,Film Dressing,,Silver Impregnated Polyurethane Foam Film Dressing With Adhesive Border,February 2009,10595005,,,,,,,,,0,72213600
37773,1.26814110000e+16,1643021,220,Allevyn Ag Adhesive dressing 22cm x 22cm sacral (Smith & Nephew Healthcare Ltd),,22cm x 22cm sacral,Dressing,,Silver Impregnated Polyurethane Foam Film Dressing With Adhesive Border,February 2009,19821005,,,,,,,,,0,72213600
13057,528411000001103,83736020,1152,Avance A dressing 12cm x 12cm square (Molnlycke Health Care Ltd),Silver,12cm x 12cm,Film Dressing,,Silver Impregnated Polyurethane Foam Film Dressing With Adhesive Border,February 2009,10591005,,,,,,,,,0,72213600
41852,1.34300110000e+16,2082021,3,Silver impregnated polyurethane foam film dressing with adhesive border 12.7cm x 8.8cm oval,,8.8cm x 12.7cm oval,Film Dressing With Adhesive Border,,Silver Impregnated Polyurethane Foam Film Dressing With Adhesive Border,April 2010,20262005,,,,,,,,,0,72213600
24607,9036111000001104,93278020,18,Silver impregnated polyurethane foam film dressing with adhesive border 19cm x 20cm heel,,19cm x 20cm heel,Film Dressing With Adhesive Border,,Silver Impregnated Polyurethane Foam Film Dressing With Adhesive Border,February 2009,15238005,,,,,,,,,0,72213600
39262,9036211000001108,93280020,10,Silver impregnated polyurethane foam film dressing with adhesive border 23cm x 23cm sacral,,23cm x 23cm sacral,Film Dressing With Adhesive Border,,Silver Impregnated Polyurethane Foam Film Dressing With Adhesive Border,April 2009,15239005,,,,,,,,,0,72213600
37804,1.27028110000e+16,1636021,19,Silver impregnated polyurethane foam film dressing with adhesive border 17cm x 17cm sacral,,17cm x 17cm sacral,Film Dressing With Adhesive Border,,Silver Impregnated Polyurethane Foam Film Dressing With Adhesive Border,February 2009,19814005,,,,,,,,,0,72213600
10060,4704511000001105,89288020,3216,Biatain Ag dressing 12.5cm x 12.5cm square (Coloplast Ltd),,12.5cm x 12.5cm,Dressing With Adhesive Border,,Silver Impregnated Polyurethane Foam Film Dressing With Adhesive Border,February 2009,13225005,,,,,,,,,0,72213600
40066,1.27029110000e+16,1637021,4,Silver impregnated polyurethane foam film dressing with adhesive border 22cm x 22cm sacral,,22cm x 22cm sacral,Film Dressing With Adhesive Border,,Silver Impregnated Polyurethane Foam Film Dressing With Adhesive Border,August 2009,19815005,,,,,,,,,0,72213600
23902,3134811000001106,83747020,43,Silver impregnated polyurethane foam film dressing with adhesive border 15cm x 15cm square,Silver,15cm x 15cm,Film Dressing,,Silver Impregnated Polyurethane Foam Film Dressing With Adhesive Border,February 2009,10596005,,,,,,,,,0,72213600
37777,1.27026110000e+16,1626021,90,Silver impregnated polyurethane foam film dressing with adhesive border 10cm x 10cm square,,10cm x 10cm,Film Dressing With Adhesive Border,,Silver Impregnated Polyurethane Foam Film Dressing With Adhesive Border,February 2009,19804005,,,,,,,,,0,72213600
17019,4705111000001102,89292020,484,Biatain Ag dressing 18cm x 18cm square (Coloplast Ltd),,18cm x 18cm,Dressing With Adhesive Border,,Silver Impregnated Polyurethane Foam Film Dressing With Adhesive Border,February 2009,13227005,,,,,,,,,0,72213600
24492,3134711000001103,83749020,6,Silver impregnated polyurethane foam film dressing with adhesive border 15cm x 13cm sacral,Silver,13cm x 15cm,Film Dressing,,Silver Impregnated Polyurethane Foam Film Dressing With Adhesive Border,February 2009,10597005,,,,,,,,,0,72213600
37776,1.27030110000e+16,1625021,54,Silver impregnated polyurethane foam film dressing with adhesive border 7.5cm x 7.5cm square,,7.5cm x 7.5cm,Film Dressing With Adhesive Border,,Silver Impregnated Polyurethane Foam Film Dressing With Adhesive Border,February 2009,19803005,,,,,,,,,0,72213600
36956,1.26794110000e+16,1629021,1177,Allevyn Ag Adhesive dressing 12.5cm x 12.5cm square (Smith & Nephew Healthcare Ltd),,12.5cm x 12.5cm,Dressing,,Silver Impregnated Polyurethane Foam Film Dressing With Adhesive Border,February 2009,19807005,,,,,,,,,0,72213600
43510,1.34301110000e+16,2081021,3,Silver impregnated polyurethane foam film dressing with adhesive border 5cm x 7.6cm oval,,5cm x 7.6cm oval,Film Dressing With Adhesive Border,,Silver Impregnated Polyurethane Foam Film Dressing With Adhesive Border,September 2010,20261005,,,,,,,,,0,72213600
24590,4706711000001109,89314020,48,Silver impregnated polyurethane foam film dressing with adhesive border 18cm x 18cm square,,18cm x 18cm,Film Dressing With Adhesive Border,,Silver Impregnated Polyurethane Foam Film Dressing With Adhesive Border,February 2009,13238005,,,,,,,,,0,72213600
37153,1.26800110000e+16,1634021,330,Allevyn Ag Adhesive dressing 17.5cm x 17.5cm square (Smith & Nephew Healthcare Ltd),,17.5cm x 17.5cm,Dressing,,Silver Impregnated Polyurethane Foam Film Dressing With Adhesive Border,February 2009,19812005,,,,,,,,,0,72213600
37202,1.26791110000e+16,1628021,4392,Allevyn Ag Adhesive dressing 10cm x 10cm square (Smith & Nephew Healthcare Ltd),,10cm x 10cm,Dressing,,Silver Impregnated Polyurethane Foam Film Dressing With Adhesive Border,February 2009,19806005,,,,,,,,,0,72213600
40445,1.27027110000e+16,1631021,5,Silver impregnated polyurethane foam film dressing with adhesive border 17.5cm x 17.5cm square,,17.5cm x 17.5cm,Film Dressing With Adhesive Border,,Silver Impregnated Polyurethane Foam Film Dressing With Adhesive Border,September 2009,19809005,,,,,,,,,0,72213600
37146,1.26785110000e+16,1627021,3318,Allevyn Ag Adhesive dressing 7.5cm x 7.5cm square (Smith & Nephew Healthcare Ltd),,7.5cm x 7.5cm,Dressing,,Silver Impregnated Polyurethane Foam Film Dressing With Adhesive Border,February 2009,19805005,,,,,,,,,0,72213600
23899,3134911000001101,83743020,30,Silver impregnated polyurethane foam film dressing with adhesive border 9cm x 9cm square,Silver,9cm x 9cm,Film Dressing,,Silver Impregnated Polyurethane Foam Film Dressing With Adhesive Border,February 2009,10594005,,,,,,,,,0,72213600
24470,4706611000001100,89312020,129,Silver impregnated polyurethane foam film dressing with adhesive border 12.5cm x 12.5cm square,,12.5cm x 12.5cm,Film Dressing With Adhesive Border,,Silver Impregnated Polyurethane Foam Film Dressing With Adhesive Border,February 2009,13237005,,,,,,,,,0,72213600
36968,1.26805110000e+16,1641021,772,Allevyn Ag Adhesive dressing 17cm x 17cm sacral (Smith & Nephew Healthcare Ltd),,17cm x 17cm sacral,Dressing,,Silver Impregnated Polyurethane Foam Film Dressing With Adhesive Border,February 2009,19819005,,,,,,,,,0,72213600
17075,9013311000001100,93282020,527,Biatain Ag dressing 19cm x 20cm heel (Coloplast Ltd),,19cm x 20cm heel,Dressing With Adhesive Border,,Silver Impregnated Polyurethane Foam Film Dressing With Adhesive Border,February 2009,15240005,,,,,,,,,0,72213600
38579,1.34229110000e+16,2096021,128,PolyMem Silver dressing 12.7cm x 8.8cm oval (H & R Healthcare Ltd),,8.8cm x 12.7cm oval,Dressing With Adhesive Border,,Silver Impregnated Polyurethane Foam Film Dressing With Adhesive Border,February 2009,20276005,,,,,,,,,0,72213600
38666,1.34224110000e+16,2095021,180,PolyMem Silver dressing 5cm x 7.6cm oval (H & R Healthcare Ltd),,5cm x 7.6cm oval,Dressing With Adhesive Border,,Silver Impregnated Polyurethane Foam Film Dressing With Adhesive Border,February 2009,20275005,,,,,,,,,0,72213600
26705,9013811000001104,93284020,234,Biatain Ag dressing 23cm x 23cm sacral (Coloplast Ltd),,23cm x 23cm sacral,Dressing With Adhesive Border,,Silver Impregnated Polyurethane Foam Film Dressing With Adhesive Border,February 2009,15241005,,,,,,,,,0,72213600
